number_new_tokens,model,model_type,version,FertilityInput,Perplexity,FertilityOutput,MMLU,CalamePT,SupergluePTPT,FertilityBoost [Run #0],FertilityBoost [Run #1],FertilityBoost [Run #2],FertilityBoost [Run #3],FertilityBoost [Run #4],FertilityBoost [Run #5],FertilityBoost [Run #6],FertilityBoost [Run #7],FertilityBoost [Run #8],FertilityBoost [Run #9],FertilityBoost [Mean],FertilityBoost [STD],FertilityBoost
1000,HuggingFaceTB/SmolLM2-135M,INITIALIZED_NO_TRAINING,results@2025-08-12 01:40:27,1.9365427147195324,1134.2960266113282,3.2442602933512026,0.2325167355077624,0.1353564547206165,0.0146782085058336,0.05046495813869372,0.051330545560865505,0.05188311953896522,0.05088149566907015,0.05017811802565031,0.0505712963391412,0.050418193410688095,0.05055883596715727,0.050179817060782866,0.050650249707413574,0.050711662941842796,0.0005045312386190131,5.07% ± 0.05%
1000,HuggingFaceTB/SmolLM2-135M,INITIALIZED_WITH_TRAINING,results@2025-08-12 01:40:27,1.9365427147195324,1200.9056139564514,3.295875958603231,0.2325167355077624,0.1353564547206165,0.0146782085058336,0.050335671409842936,0.05001876210168355,0.05070207219406443,0.04999178838391841,0.05007396955170298,0.051358523967181546,0.050015916260386754,0.05119038627918094,0.05112317084906158,0.049818168904306195,0.05046284299013294,0.0005501518664465652,5.05% ± 0.06%
5000,HuggingFaceTB/SmolLM2-135M,INITIALIZED_NO_TRAINING,results@2025-08-12 03:04:02,1.7589961611184324,1965.7165289497373,2.758511842563567,0.2325167355077624,0.1353564547206165,0.015054572826496,0.12905261154032874,0.12919941577740132,0.1287105971885792,0.12890113777809442,0.12779159621344197,0.1291479406077623,0.12830748215054794,0.12861914478754027,0.12890060059687752,0.12892540484660547,0.12875559314871793,0.00040754358549802556,12.88% ± 0.04%
5000,HuggingFaceTB/SmolLM2-135M,INITIALIZED_WITH_TRAINING,results@2025-08-12 03:04:02,1.7589961611184324,2086.669627952576,2.792972831765935,0.2325167355077624,0.1353564547206165,0.015054572826496,0.13060578847631388,0.1279042461008232,0.13020485196902848,0.1301656394368229,0.1292793635570131,0.12909496465652887,0.13028918539797527,0.13051788056835614,0.12770494968893428,0.12831378692107864,0.1294080656772875,0.0010547751999060247,12.94% ± 0.11%
7500,HuggingFaceTB/SmolLM2-135M,INITIALIZED_NO_TRAINING,results@2025-08-12 04:35:42,1.7549326763307167,2707.2382502555847,2.825157743200196,0.2325167355077624,0.1353564547206165,0.015054572826496,0.16124603594316675,0.16011694311175195,0.15826632747259942,0.16198043497901965,0.16068380996540949,0.15892317820086418,0.15918314082732182,0.1612158239128219,0.1609454904874228,0.16000835681866238,0.16025695417190405,0.0011180527709343377,16.03% ± 0.11%
7500,HuggingFaceTB/SmolLM2-135M,INITIALIZED_WITH_TRAINING,results@2025-08-12 04:35:42,1.7549326763307167,2707.7220050430296,2.8554429061504534,0.2325167355077624,0.1353564547206165,0.015054572826496,0.15826531451005332,0.1588196066576431,0.16068152690197554,0.16012032288560024,0.16251203173037856,0.1605038312719813,0.15962950298617798,0.16022678402970236,0.1593567086453038,0.15870111186303848,0.1598816741481855,0.001165984184813481,15.99% ± 0.12%
1000,HuggingFaceTB/SmolLM3-3B,INITIALIZED_NO_TRAINING,results@2025-08-12 18:49:42,1.765133787887469,,2.1101669974469948,0.5666571713431136,0.5852601156069365,0.4968636306611466,0.0023866718735417658,0.0020154234855244996,0.0021998925886177727,0.002009416468407941,0.0022952218960973826,0.0023726130700615815,0.002232025932657611,0.002183120386616011,0.0022306472479025584,0.002378535603883777,0.0022303568553310904,0.00013000340929532981,0.22% ± 0.01%
1000,HuggingFaceTB/SmolLM3-3B,INITIALIZED_WITH_TRAINING,results@2025-08-12 18:49:42,1.765133787887469,,2.106962883522944,0.5666571713431136,0.5852601156069365,0.4968636306611466,0.0024432682178841,0.0022107424541628106,0.002055705518826253,0.0021722454152853076,0.0025165248309558944,0.0020914123156331324,0.0023390207508490594,0.002206214714860847,0.002256434113643086,0.0021665143999400234,0.002245808273204051,0.00013984019512778615,0.22% ± 0.01%
5000,HuggingFaceTB/SmolLM3-3B,INITIALIZED_NO_TRAINING,results@2025-08-13 00:42:32,1.652690081934338,,2.049587672943068,0.5666571713431136,0.5852601156069365,0.4968636306611466,0.008001152654390165,0.009204824231920889,0.00879054131834689,0.009207658941400406,0.008844004043248838,0.008776151479510204,0.008141969926623303,0.008857163430498829,0.008699109550446685,0.008205560570717526,0.008672813614710374,0.00040110655870643597,0.87% ± 0.04%
5000,HuggingFaceTB/SmolLM3-3B,INITIALIZED_WITH_TRAINING,results@2025-08-13 00:42:32,1.652690081934338,,2.0366968271070163,0.5666571713431136,0.5852601156069365,0.4968636306611466,0.007775372453608855,0.008520341981191854,0.008581467936601089,0.009106999417182961,0.008350286303999137,0.00833323000742768,0.008544121793027753,0.009591488784178797,0.008019454739357992,0.00754977589925638,0.00843725393158325,0.0005690855833954132,0.84% ± 0.06%
7500,HuggingFaceTB/SmolLM3-3B,INITIALIZED_NO_TRAINING,results@2025-08-13 06:43:44,1.6540789549074657,,2.015735879200165,0.5666571713431136,0.5852601156069365,0.4968636306611466,0.010905128078835112,0.011104592173752405,0.010830263304967854,0.01045701904787146,0.010211731385041221,0.010496579027530033,0.009492760360617601,0.010472996484399442,0.010778302090478708,0.010434122977839794,0.010518349493133365,0.00042630714804344085,1.05% ± 0.04%
7500,HuggingFaceTB/SmolLM3-3B,INITIALIZED_WITH_TRAINING,results@2025-08-13 06:43:44,1.6540789549074657,,2.0332219130076274,0.5666571713431136,0.5852601156069365,0.4968636306611466,0.01083448968393253,0.01048422703390053,0.010666371637974901,0.010335040359056072,0.010864460678813992,0.01067667082567424,0.009665833059563573,0.010208114143694524,0.010558971369307826,0.011242053475713486,0.010553623226763165,0.0004046561285320474,1.06% ± 0.04%
1000,Qwen/Qwen2.5-1.5B-Instruct,INITIALIZED_NO_TRAINING,results@2025-08-12 05:33:51,1.7634721824328197,53328.02392004013,2.194537160658656,0.5896595926506196,0.4961464354527938,0.3985698155814828,0.006139662613566774,0.006699312581275556,0.0060405105722788205,0.005972826931534086,0.006341509746239347,0.006298779904642108,0.006367959976161818,0.006165723416683045,0.006389378019199169,0.00659338894454982,0.006300905270613055,0.0002186243832891417,0.63% ± 0.02%
1000,Qwen/Qwen2.5-1.5B-Instruct,INITIALIZED_WITH_TRAINING,results@2025-08-12 05:33:51,1.7634721824328197,15517.96039741516,2.2110206771421725,0.5896595926506196,0.4961464354527938,0.3979425417137122,0.0057247890344897315,0.00607991321497102,0.006135924273087603,0.006451684281904336,0.006167655170166821,0.006371591722802864,0.006463929861852391,0.0061161085943696476,0.006066570302068673,0.0062648758981216374,0.006184304235383472,0.00020843042428169206,0.62% ± 0.02%
5000,Qwen/Qwen2.5-1.5B-Instruct,INITIALIZED_NO_TRAINING,results@2025-08-12 07:20:38,1.6648461582535954,65642.69842746735,2.1904761904761902,0.5896595926506196,0.4961464354527938,0.4028352778823234,0.020654362599267048,0.02150608203946846,0.020896864023652362,0.021221049151021153,0.02029115446241271,0.020650673885400296,0.020625534892895207,0.020939648090300803,0.020921444136390476,0.021753020679045477,0.0209459833959854,0.0004180280411490681,2.09% ± 0.04%
5000,Qwen/Qwen2.5-1.5B-Instruct,INITIALIZED_WITH_TRAINING,results@2025-08-12 07:20:38,1.6648461582535954,724478.5539441109,2.264745670995671,0.5896595926506196,0.4961464354527938,0.4020825492409986,0.021590612071494035,0.021022518171825846,0.02064128789190556,0.020883680482479846,0.020429729661062972,0.021309212510972068,0.0216576051636335,0.021979933315194752,0.021055339015234667,0.021471753968163625,0.021204167225196684,0.00045976520510209075,2.12% ± 0.05%
7500,Qwen/Qwen2.5-1.5B-Instruct,INITIALIZED_NO_TRAINING,results@2025-08-12 09:20:28,1.666995931931473,155106.68037136077,2.1948215257936803,0.5896595926506196,0.4956647398843931,0.4013925479864509,0.02550815110411027,0.0254151146661751,0.025253477376414615,0.025621742562466614,0.025265628898131297,0.02596679501127608,0.024916171536700914,0.026113022435489637,0.026024840841112496,0.026054337791112086,0.025613928222298916,0.0003905506483876508,2.56% ± 0.04%
7500,Qwen/Qwen2.5-1.5B-Instruct,INITIALIZED_WITH_TRAINING,results@2025-08-12 09:20:28,1.666995931931473,802826.4794509888,2.1692852643023626,0.5896595926506196,0.4956647398843931,0.4006398193451261,0.025363995458743748,0.025016663550739702,0.024904865828424657,0.025523204831693392,0.025196101671471,0.02473230272736364,0.02581875858082219,0.025590135746966055,0.0248227316211529,0.024787609163808823,0.02517563691811861,0.0003622648697625551,2.52% ± 0.04%
